facility_name,type,address,city,zip,administrator,phone,fax,license_num,lic_expire
ROSE SENIOR LIVING CARMEL,Residential,1285 FAIRFAX MANOR DRIVE,CARMEL,46032,ANGELA MARTINEZ,3172498830,N/A,26-013719-1,2/28/2027
ROSEGATE COMMONS,Residential,7525 ROSEGATE DRIVE,INDIANAPOLIS,46237,ANN KIRSTEIN,3178890100,N/A,25-012936-1,3/31/2026
ROSEWALK AT LUTHERWOODS,Residential,1301 N RITTER AVE,INDIANAPOLIS,46219,JULIE MADISON,3173562760,N/A,25-011587-1,9/30/2026
SANDERS GLEN,Residential,334 S CHERRY ST,WESTFIELD,46074,SUZANNE HAMAKER,3178670212,N/A,26-005657-1,12/31/2026
SEACOAST AT SUMMERS POINTE LLC,Residential,1 SUNSET DRIVE,WINCHESTER,47394,STACI KEEN,7655847676,N/A,25-013838-1,4/30/2026
"SENIOR SUITES AT THE LELAND, LLC",Residential,900 SOUTH A STREET,RICHMOND,47374,AMANDA MARQUIS,7659396500,N/A,26-012497-1,1/31/2027
SILVER BIRCH AT COOK ROAD,Residential,3731 WEST COOK ROAD,FORT WAYNE,46818,LISA HARRISON,2604902112,N/A,25-014553-1,8/31/2026
SILVER BIRCH OF EVANSVILLE,Residential,475 S GOVERNOR STREET,EVANSVILLE,47713,DIADREE JOLLY,8127774490,N/A,26-014238-1,2/28/2027
SILVER BIRCH OF FORT WAYNE,Residential,7125 S HANNA STREET,FORT WAYNE,46816,NATASHA WELCH,2604478811,N/A,25-014316-1,6/30/2026
SILVER BIRCH OF HAMMOND,Residential,5620 SOHL AVENUE,HAMMOND,46320,NEYSA HOLMAN STEWART,2199379085,N/A,25-013801-1,7/31/2026
SILVER BIRCH OF KOKOMO,Residential,408 S WASHINGTON STREET,KOKOMO,46901,ANTONIO STEWART,7658687266,N/A,25-014137-1,8/31/2026
SILVER BIRCH OF MICHIGAN CITY,Residential,4400 EAST MICHIGAN BLVD,MICHIGAN CITY,46360,SANDRA STEWARD,2198796115,N/A,25-014052-1,6/30/2026
SILVER BIRCH OF MISHAWAKA,Residential,3630 HICKORY ROAD,MISHAWAKA,46545,ALICIA SIEPLINGA,5742527225,N/A,25-014260-1,6/30/2026
SILVER BIRCH OF MUNCIE,Residential,2500 W KILGORE AVENUE,MUNCIE,47304,JOSEPH COLLINS,7652540329,N/A,25-014034-1,4/30/2026
SILVER BIRCH OF TERRE HAUTE,Residential,650 LAFAYETTE AVENUE,TERRE HAUTE,47807,JILL STOTT,8122370123,N/A,25-014291-1,5/31/2026
ST PAUL'S,Residential,3602 SOUTH IRONWOOD DRIVE,SOUTH BEND,46614,JEFFRY BILLHIMER,5742849000,N/A,26-014602-1,2/28/2027
STORYPOINT FORT WAYNE WEST,Residential,611 W COUNTY LINE RD SOUTH,FORT WAYNE,46814,LAURA LOVELL,2606254025,N/A,25-011804-1,3/31/2026
STORYPOINT GRANGER,Residential,6330 N FIR RD,GRANGER,46530,CRAIG CLEMONS,5742435557,N/A,25-012229-1,3/31/2026
STORYPOINT SCHERERVILLE,Residential,7770 BURR STREET,SCHERERVILLE,46375,STEPHANIE PETERSON,2193228855,N/A,25-013825-1,9/30/2026
SUGAR FORK CROSSING,Residential,1745 EAST 67TH STREET,ANDERSON,46013,LORENA GLOVER,7652339360,N/A,25-014080-1,4/30/2026
SUGAR GROVE SENIOR LIVING COMMUNITY,Residential,5865 SUGAR LN,PLAINFIELD,46168,AMY GHARBI,3178397900,N/A,26-012394-1,1/31/2027
SUMMIT PLACE WEST,Residential,55 N MISSION DR,INDIANAPOLIS,46214,YVETTE HAMPTON,3172442600,N/A,25-011840-1,4/30/2026
SUNRISE ON OLD MERIDIAN,Residential,12130 OLD MERIDIAN ST,CARMEL,46032,TERONA LONG,3175690100,N/A,25-012141-1,9/30/2026
SWEET GALILEE AT THE WIGWAM,Residential,1315 JOHN STREET,ANDERSON,46016,SUZANNE DILLE,7654423752,N/A,25-014706-1,6/30/2026
TANGLEWOOD TRACE,Residential,530 W TANGLEWOOD LN,MISHAWAKA,46545,BARBARA GAWEL,5742774310,N/A,25-009669-1,6/30/2026
"TERRACE AT FORT WAYNE, THE",Residential,4730 E STATE BLVD,FORT WAYNE,46815,JODI LEIGH CROWL,2604840308,N/A,25-003273-1,3/31/2026
TIMBER CREEK VILLAGE,Residential,990 PROGRESS PARKWAY,SHELBYVILLE,46176,CRYSTAL WERNER,3176802500,N/A,25-014548-1,5/31/2026
TIPTON PLACE,Residential,460 FORKS OF THE WABASH WAY,HUNTINGTON,46750,MELISSA QUINN,2603562028,N/A,25-003376-1,6/30/2026
TOWNE CENTRE ASSISTED LIVING LLC,Residential,7252 ARTHUR BLVD,MERRILLVILLE,46410,RIKKI FORD,2197362900,N/A,26-002392-1,2/28/2027
TOWNE PARK ASSISTED LIVING,Residential,503 S MURPHY AVE,BRAZIL,47834,HANNAH WILSON,8124204100,N/A,25-014623-1,4/30/2026
TRADITIONS AT BROOKSIDE,Residential,6311 WEST CR 900 NORTH,MCCORDSVILLE,46055,PATRICIA JUNE,3173359900,N/A,25-013847-2,7/31/2026
TRADITIONS AT HUNTER STATION,Residential,400 HUNTER STATION ROAD,SELLERSBURG,47172,KATHY JONES,8127485258,N/A,25-013841-2,7/31/2026
TRADITIONS AT NORTH WILLOW,Residential,1703 W 86TH STREET,INDIANAPOLIS,46260,NATHAN MILLIGAN,3178762916,N/A,25-013880-1,7/31/2026
TRADITIONS AT REAGAN PARK,Residential,1176 KINGWOOD DRIVE,AVON,46123,INTANIQUE PAYSINGER,3172710100,N/A,25-013264-1,3/31/2026
TRADITIONS AT SOLANA,Residential,7721 BATTERY POINTE WAY,INDIANAPOLIS,46240,TY WARNER,3178600000,N/A,25-013164-1,3/31/2026
TRADITIONS OF COLUMBUS,Residential,4300 WEST GOELLER BLVD,COLUMBUS,47201,STACEY GALLARDO,8125520500,N/A,25-015179-1,6/30/2026
TRAIL CREEK PLACE,Residential,1400 E COOLSPRING AVE,MICHIGAN CITY,46360,CHRISTY MILLER,2198745500,N/A,25-010610-1,3/31/2026
TRUSTWELL LIVING AT SETTLERS PLACE,Residential,3304 MONROE ST,LA PORTE,46350,KIMBERLY S URBAN,2193267283,N/A,25-004458-1,8/31/2026
VALPARAISO SENIOR VILLAGE,Residential,74 E JOURNEY WAY,VALPARAISO,46383,JACLYN WOLSKI,2197286800,N/A,25-015221-2,9/30/2026
"VILLAS OF HOLLY BROOK INDIANA, LLC",Residential,1941 W US HIGHWAY 40,BRAZIL,47834,GADDIS BAYSINGER,8124202243,N/A,25-013946-1,5/31/2026
VITA OF GREENFIELD,Residential,1683 COMMUNITY WAY,GREENFIELD,46140,ALLISON CATRON,4632908001,N/A,25-016063-1,10/31/2026
VITA OF MARION,Residential,4211 S ADAMS STREET,MARION,46953,KEISHA DUBE,7653032056,N/A,25-015081-1,6/30/2026
VITA OF NEW WHITELAND,Residential,532 COUNTRY GATE DRIVE,NEW WHITELAND,46184,NICOLE HOLDER,3174637155,N/A,25-016046-1,7/31/2026
VIVERA SENIOR LIVING OF COLUMBUS,Residential,1971 STATE STREET,COLUMBUS,47201,KRISTEN CHALOU,8123760698,N/A,25-014519-1,4/30/2026
VIVERA SENIOR LIVING OF JEFFERSONVILLE,Residential,2105 HAMBURG PIKE,JEFFERSONVILLE,47130,JENNY BROWN,8125778542,N/A,25-015121-1,11/30/2026
WALKER PLACE,Residential,2216 N RILEY HWY,SHELBYVILLE,46176,CHRISTINA CERTA,3173923370,N/A,25-004444-1,6/30/2026
WALNUT CREEK MEMORY CARE,Residential,525 BENTEE WES COURT,EVANSVILLE,47715,JAMIE MYERS,8124713100,N/A,26-013642-1,2/28/2027
WELLINGTON AT SOUTHPORT THE,Residential,7212 US HWY 31 S,INDIANAPOLIS,46227,KEISHA DUBE,3178899822,N/A,25-003283-1,9/30/2026
WEST LAFAYETTE ALF OPERATIONS,Residential,3575 SENIOR PLACE,WEST LAFAYETTE,47906,KRISTIE COTTRELL,7654641805,N/A,25-014094-1,10/31/2026
WHITLOCK PLACE,Residential,1719 S ELM ST,CRAWFORDSVILLE,47933,LORA REEVES,7653641880,N/A,25-004419-1,6/30/2026
WINDWARD POINTE SENIOR LIVING,Residential,6235 STERLING CREEK RD,PORTAGE,46368,KRISTIN PAWLAK,2197642900,N/A,25-012396-2,7/31/2026
WOODLAND TERRACE OF CARMEL,Residential,689 PRO MED LANE,CARMEL,46032,NICHOLAS HALSTEAD,3176160858,N/A,25-013510-1,10/31/2026
WOODLAND TERRACE OF DANVILLE,Residential,200 S ARBOR LANE,DANVILLE,46122,BREANN HIGGINS,3175640222,N/A,25-014518-1,6/30/2026
WOODLAND TERRACE OF NEW PALESTINE LLC,Residential,4400 TERRACE DRIVE,NEW PALESTINE,46163,CRYSTAL HAYDEN,3173538311,N/A,25-013896-1,10/31/2026
WOODRIDGE VILLAGE,Residential,17650 GENERATIONS DR,SOUTH BEND,46635,RICHARD KENNEDY,5742711151,N/A,25-001148-1,9/30/2026
WORTHINGTON PLACE,Residential,10799 ALLIANCE DR,CAMBY,46113,SHERYL MORNING,3178566224,N/A,25-003984-1,6/30/2026
WYNDMOOR ASSISTED LIVING LLC,Residential,1465 EAST CROSSING BLVD,TERRE HAUTE,47802,VALAURIE NESBIT,8122989963,N/A,25-013389-1,10/31/2026
"WYNDMOOR OF CASTLETON, LLC",Residential,8480 CRAIG ST,INDIANAPOLIS,46250,CARYL HOUGHTON,3178426564,N/A,25-009894-1,4/30/2026
WYNDMOOR OF EVANSVILLE LLC,Residential,6521 GREENDALE DR,EVANSVILLE,47711,JESSIE MOORE,8128677900,N/A,25-010681-1,4/30/2026
"WYNDMOOR OF MARION, LLC",Residential,2452 W KEM RD,MARION,46952,CASSANDRA DIXON,7653844500,N/A,25-010682-1,4/30/2026
"WYNDMOOR OF PORTAGE, LLC",Residential,3444 SWANSON RD,PORTAGE,46368,SANDRA WILLIAMS,2197634867,N/A,25-010889-1,4/30/2026
