Facility Name,Region,DataSource,IndividualId,Company/First Name,CAM,Care Team,Care Team Clinical Mgr,Telmediq ID,Facility Type,Status,Client Status,Facility NPI #,AddressLine1,City,State,StateCode,PostalCode,County,Work Phone,fax,Fax to Send Notes,Fax to Send Sched,Email,Email to Send Schedule,Lab,Lab Sched Day,Xray/Imaging,Home Health,Hospice,Total Patients,BHI Volume,CCM Volume,Telehealth Volume,Primary Care Volume,Primary Care ALF Volume,Primary Care SNF Volume,Primary Care IL Volume,Psychiatry Volume,Psychotherapy Volume,Ortho Volume,Mental Health Volume,Dermatology Volume,Podiatry Volume,Specialty Volume,Pain Volume,Wound Care Volume,MCO,APCM Volume,VBLTC Volume,Competitor,Licensed Bed #,Current Census #,Eventus EMR,Facility EMR MA Access,PC Provider 1,PC Provider 1 NPI,PC Sched Days 1,PC Provider 2,PC Provider 2 NPI,PC Sched Days 2,PC Provider 3,PC Sched Days 3,Medical Director,PC Sched Days 4,PC Provider - 4,PC Provider 1 / CTA,PC Provider 1 CTA,PC Provider 1 MA,PC Provider 2 MA,PC Start Date,PC Frequency,Medical Director Name,Psychiatry Provider 1,Psychiatry Provider 1 NPI,Psychiatry Sched Days 1,Psychiatry Provider 2,Psychiatry Provider 2 NPI,Psychiatry Sched Days 2,Psychiatry Provider 1 MA,Psychiatry Provider 2 MA,Psychiatry Provider 1 / CTA,Psychiatry Provider 1 CTA,Psychiatry Provider 2 CTA,Psychiatry Start Date,Psychiatry Frequency,Psychotherapy Provider 1,Psychotherapy Provider 1 NPI,Psychotherapy Sched Day 1,Psychotherapy Provider 2,Psychotherapy Sched Day 2,Psychotherapy Prov 1 MA,Psychotherapy Prov 2 MA,Psychotherapy Provider 2 NPI,Psychotherapy Provider 1 CTA,Psychotherapy Start Date,Psychotherapy Frequency,Podiatry Provider 1,Podiatry Provider 1 NPI,Podiatry Provider 2,Podiatry Provider 1 MA,Podiatry Sched Day 1,Podiatry Sched Day 2,Podiatry Start Date,Podiatry Frequency,Pain Provider 1,Pain Provider 1 MA,Pain Sched Day 1,Pain Provider 2,Pain Provider 2 MA,Pain Sched Day 2,Pain Start Date,Pain Frequency,Pain Freq Other,Pain Status,Wound Care Provider 1,Wound Care Provider 1 NPI,Wound Care Provider 1 MA,Wound Care Sched Day 1,Wound Care Provider 2,Wound Care Provider 2 MA,Wound Care Sched Day 2,Wound Care Start Date,Wound Care Frequency,Wound Care Freq Other,Wound Care Status,Specialty Provider 1,Specialty Provider 1 MA,Specialty Sched Day 1,Specialty Provider 2,Specialty Provider 2 MA,Specialty Sched Day 2,Specialty Start Date,Specialty Frequency,Specialty Freq Other,Specialty Status,Title/Position,Title,Parent Company,Legacy EMR,Mobile Phone,Alternate Phone,Contact 1,Contact 1 Email,Contact 1 Title/Position,Contact 1 Mobile Phone,Contact 1 Work Phone,Contact 1 Alternate Phone,Contact 2,Contact 2 Email,Contact 2 Title/Position,Contact 2 Mobile Phone,Contact 2 Work Phone,Contact 2 Alternate Phone,Contact 3,Contact 3 Email,Contact 3 Title Position,Contact 3 Mobile Phone,Contact 3 Work Phone,Contact 3 Alternate Phone,Contact 4,Contact 4 Email,Contact 4 Title/Position,Contact 4 Mobile Phone,Contact 4 Work Phone,Contact 4 Alternate Phone,Contact 5,Contact 5 Email,Contact 5 Title/Position,Contact 5 Mobile Phone,Contact 5 Work Phone,Contact 5 Alternate Phone,Contact 6,Contact 6 Email,Contact 6 Title/Position,Contact 6 Mobile Phone,Contact 6 Work Phone,Contact 6 Alternate Phone,Source System ID,AdvMD ID,AdvMD Name,Auto Sending of Sched,Attending MDDO,Attending MDDO NPI,Medical Director NPI,Back Up Lab,LTC ACO,ACO Reach,RMAL,Pharmacy,ACO Physician,ACO Physician NPI,EOD Report,BHI Coordinator,BHI Coordinator ID,Last Field Visit,Palliative Care NPI,Palliative Care Provider,Palliative Care Volume,SNP Volume,VA Patient Volume,Psychiatry Attending,Psychiatry Attending NPI,ISNP Provider,ISNP Provider NPI,Created,CMSCCN,,
Cumberland Valley Nursing & Rehabilitation,,NULL,NULL,,Tiffany Johnson-Burnette,Southwest Kentucky,Shaye Tomblinson,NULL,SNF,Established,Green,1306841200,"301 S Main St, ",Burkesville,,Kentucky,42717,NULL,270-864-4315,(270)864-3721,NULL,NULL,,lsmith@cumberlandnursingky.com; egilbert@cumberlandnursingky.com; tadams@cumberlandnursingky.com,NULL,NULL,NULL,NULL,NULL,58,35,33,44,1,0,1,0,48,49,0,0,0,0,0,0,0,NULL,4,0,NULL,93,87,1648,PCC - integrated,XXX,0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Molly Fox,1386396851,Tu Q1W,NULL,NULL,NULL,,,,,,8/13/2024,NULL,Courtney Catron,1073479416,NULL,NULL,NULL,,,NULL,,NULL,,XXX,NULL,,,NULL,,,,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,Bluegrass/Encore,NULL,,,Leslie Smith,lsmith@cumberlandnursingky.com,Administrator,NULL,NULL,NULL,Emily Gilbert,egilbert@cumberlandnursingky.com,SW,NULL,NULL,NULL,Tracey Adams,tadams@cumberlandnursingky.com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1648,NULL,NULL,NULL,XXX,NULL,0,NULL,0,0,Kayla D. Saylor,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,XXX,0,0,0,Kelly Butler,1518960681,NULL,NULL,7/17/2024 6:53,185270,,
Friends Fellowship Communities ,,NULL,NULL,,Tammy Taschwer,Central Indiana,Amanda Lewis,NULL,AL/SNF,Established,Yellow,1427215706,2030 Chester Blvd,Richmond ,,Indiana,47374,NULL,(765) 962-6546,(765) 962-9188,NULL,NULL,,khart@ffcinc.org,NULL,NULL,NULL,NULL,"Aseracare, Reid Health Hospice",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,NULL,217,94,2198,NULL,XXX,0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,TBD,1,NULL,NULL,NULL,NULL,,,,,,NULL,NULL,TBD,1,NULL,NULL,NULL,,,NULL,,NULL,,XXX,0,,,NULL,,,,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,"Friends Fellowship Communities, Inc.",PCC,,,Kari Hart,khart@ffcinc.org,Social Services ,NULL,NULL,NULL,Scott,spiotrowicz@FFCINC.org,Piotrowicz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2198,NULL,NULL,NULL,XXX,0,0,NULL,0,0,NULL,Omnicare ,NULL,NULL,NULL,NULL,NULL,NULL,0,XXX,0,0,0,NULL,NULL,XXX,0,1/14/2026 9:36,NULL,,
PruittHealth - Neuse,,CP,6797412,,Grayson Rhodes,Carolinas Northeast,Leigh Cox Feranec,NULL,SNFMD,Established,Green,1245285253,1303 HEALTH DR,NEW BERN,,North Carolina,28560,"Craven County, NC",2526342560,(252) 638-1485,NULL,NULL,,NULL,Meridian,NULL,MMDS,NULL,NULL,113,35,35,111,111,0,111,0,33,33,0,0,0,0,0,33,0,Trillium,111,0,NULL,NULL,NULL,589,Pruitt Matrix,Connie Getsinger,1700452000,M Q1W & Th Q2W,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,Steven Skahill,TBD,1,W Q1W,NULL,NULL,NULL,,,,,,NULL,NULL,TBD,1,M Q1W,NULL,NULL,,,NULL,,NULL,,XXX,NULL,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,PRUITT HEALTH,Chartpath,,,Satira Darden,SDarden@Pruitthealth.com,Social Worker (Main Psych Contact),NULL,NULL,NULL,Jenna Abbott,Jenna.Abbott@Pruitthealth.com,Admin,NULL,NULL,NULL,Carla Combs,carla.combs@pruitthealth.com,Unit Manager (Main PCP Contact),NULL,NULL,NULL,Dawn Tierney,Dawn.Tierney@Pruitthealth.com,DON,NULL,NULL,NULL,Natasha Gardner,Ngarner@Pruitthealth.com,Medical Records,NULL,NULL,NULL,Rebecca Kiser ,RebeccaKiser@Pruitthealth.com,Nurse Navigator,NULL,NULL,NULL,589,1492,PRUITTHEALTH - NEUSE,NULL,Steven Skahill,1023017233,1023017233,NULL,16,0,Haley Shaffer,NULL,NULL,NULL,NULL,Stephanie Brown ,NULL,00:00.0,NULL,XXX,0,0,0,Hans Stelmach,1356535991,NULL,NULL,7/17/2023 15:00,345357,,
ELKS HOME-ALF,,NULL,NULL,,Melissa Been,Southern Virginia,Challen Mabry,NULL,AL,Established,Green,1023618139,931 ASHLAND AVE,BEDFORD,,Virginia,24523,Bedford,(540)586-8232,N/A,NULL,NULL,,aprosser@springoakliving.com,NULL,NULL,NULL,NULL,NULL,63,29,30,39,46,46,0,0,33,0,0,0,0,0,0,17,0,NULL,45,0,NULL,NULL,NULL,1738,NULL,Caroline Chisholm,1134546070,F Q1W,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Tammy Bogart,1366543316,Tu Q1W,NULL,NULL,NULL,,,,,,NULL,NULL,XXX,0,NULL,NULL,NULL,,,NULL,,NULL,,XXX,0,,,NULL,,,,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,CareTrust,NULL,,,Thomas Kirby,tkirbyspringoakliving.com,Director,NULL,NULL,NULL,Amanda Prosser,aprosser@springoakliving.com,DON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1738,NULL,NULL,NULL,Caroline Chisholm,1134546070,0,NULL,27,0,Jessica Johnson,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,XXX,0,0,0,TBD,1,NULL,NULL,6/7/2024 11:34,NULL,,
Stonecroft Campus SNF,,CP,6797973,,Tiffany Johnson-Burnette,Southern Indiana,Cortney Hendress,NULL,AL/SNF MD,Established,Yellow,1447641683,363 S. FIELDSTONE BLVD,BLOOMINGTON,,Indiana,47403,"Monroe County, IN",812-825-0551,(812) 825-0552,NULL,NULL,,Becky.Bandy@stonecrofth.com,Synchrony,NULL,Synchrony,NULL,NULL,53,25,26,48,53,0,53,0,0,0,0,0,0,0,0,4,0,NULL,44,0,NULL,114,75,2104,Matrix,Bambi Cardinal,1952915951,"M, Tu, Th, F Q1W",NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,Kevin Neese,XXX,0,NULL,NULL,NULL,NULL,,,,,,NULL,NULL,XXX,0,NULL,NULL,NULL,,,NULL,,NULL,,XXX,NULL,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,Trilogy,NULL,,,Marcie Piercy,Marcie.piercy@stonecrofthc.com,AL Director,NULL,NULL,NULL,Stephanie Clephane,Stephanie.Clephane@stonecrofthc.com,Social Services,NULL,NULL,NULL,Becky Brandy,Becky.Bandy@stonecrofthc.com,MDS,NULL,NULL,NULL,Dawn Black,dawn.black@stonecrofthc.com,ED,NULL,NULL,NULL,Brittany Suntken ,brittany.suntken@stonecrofths.com,DON,NULL,NULL,NULL,Lyndsey Tegnell ,lyndsey.tegnell@stonecrofthc.com,ADON  ,NULL,NULL,NULL,2104,914,STONECROFT HEALTH CAMPUS,NULL,Kevin Neese,1699710319,1699710319,NULL,19,0,Chelsea Shoots,Synchrony,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,XXX,0,0,0,XXX,0,NULL,NULL,7/30/2025 12:32,155838,,
Wurtland Nursing and Rehab,,NULL,NULL,,Tiffany Johnson-Burnette,Northeast Kentucky,Margaret Wienclaw,NULL,SNF,Established,Green,1750936621,"100 Wurtland Ave, Wurtland, KY 41144",Wurtland,,Kentucky,41144,NULL,(606) 836-0931,() -,NULL,NULL,,"ED@wurtlandnr.com, dns@wurtlandnr.com",NULL,NULL,NULL,NULL,NULL,78,45,50,78,0,0,0,0,75,77,0,0,0,0,0,0,0,NULL,68,0,NULL,126,110,2135,PCC,XXX,0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Lora Stone,1437520673,M Q1W,NULL,NULL,NULL,,,,,,10/24/2025,NULL,Allison Jackson,1669930517,NULL,NULL,NULL,,,NULL,,NULL,,XXX,0,,,NULL,,,,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,Majestic Care,PCC,,,Adam Rucker,ED@wurtlandnr.com,Administrator,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2135,NULL,NULL,NULL,XXX,0,0,NULL,0,0,Kayla D. Saylor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,XXX,0,0,0,TBD,1,NULL,NULL,10/1/2025 11:24,185261,,
Willowbrook Rehabilitation and Care Center,,CP,6797585,,Bambi Anderson,Triad,Nicole Garner,NULL,SNF,Established,Yellow,1629016340,333 East Lee St,Yadkinville,,North Carolina,27055,"Yadkin County, NC",3366798028,(336) 679-4072,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,48,22,23,41,0,0,0,0,39,26,0,0,0,0,0,1,0,Partners,1,0,NULL,NULL,NULL,687,NULL,XXX,0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Zachary Harper,1134911985,Th Q1W,NULL,NULL,NULL,,,,,,9/9/2024,NULL,TBD,1,NULL,NULL,NULL,,,NULL,,NULL,,XXX,NULL,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,Avardis,Chartpath,,, Stephanie Neely,stephanie.d.crotts@consulatehc.com,Social Worker,NULL,NULL,NULL,Veronica Wagner,Veronica.M.Wagner@WillowbrookHealthcare.com,Executive Director,NULL,NULL,NULL,Angie Bunton,angela.r.bunton@consulatehc.com,Director Operations,NULL,NULL,NULL,Diana Satula,DIANA.L.SATULA@consulatehc.com,LPN unit manager,NULL,NULL,NULL,Stephanie Crotts,stephanie.d.crotts@consulatehc.com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,687,1590,WILLOWBROOK REHABILITATION AND CARE CENTER,NULL,XXX,NULL,0,NULL,0,0,Frances Long,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,XXX,0,0,0,Hans Stelmach,1356535991,NULL,NULL,7/17/2023 15:00,345466,,
English Meadows at Preston Lake,,NULL,NULL,,Melissa Been,Northern Virginia,Rachel Wilson,NULL,AL,Established,Green,theRetreatAtPrestonLake,3607 STONE SPRING RD,HARRISONBURG,,Virginia,22801,Rockingham,(540)689-0013,540-217-2594 ,540-217-2594 ,540-217-2594 ,,wd@harrisonburg.care ; 5402172594@rcfax.com ; ed@harrisonburg.care,NULL,NULL,NULL,NULL,NULL,57,34,33,45,50,50,0,0,36,6,0,0,0,0,0,1,0,NULL,48,0,NULL,NULL,NULL,1821,NULL,Stephen Colvin,1295484681,Th Q1W,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Julia Diehl,1609147503,W Q1W,NULL,NULL,NULL,,,,,,NULL,NULL,TBD,1,NULL,NULL,NULL,,,NULL,,NULL,,XXX,0,,,NULL,,,,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,English Meadows,NULL,,,Caryl Anne Taplin,ed@harrisonburg.care,Executive Director,NULL,540-835-3205,NULL,Lori Grogg,wd@harrisonburg.care,Wellness Director,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1821,NULL,NULL,NULL,TBD,1,0,NULL,31,0,Frances Morgan,Southern Pharmacy,NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,XXX,0,0,0,TBD,1,NULL,NULL,6/7/2024 11:35,NULL,,
Heritage Greens - The Arboretum,,CP,6797243,,Bambi Anderson,Carolinas Central,Jennifer Shirley,NULL,AL,Established,Green,1000128524,709 Meadowood St,Greensboro,,North Carolina,27409,"Guilford County, NC",3362994400,NULL,NULL,NULL,,Shantae.Gardner@kiscosl.com,Mako,Tuesday,Mobil X,NULL,NULL,43,21,25,40,42,42,0,0,28,23,0,0,0,0,0,2,1,Sandhills,31,0,NULL,NULL,NULL,500,No access,Joan Tackett,1154697829,"M, Th Q1W",NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Angela Caines,1730697038,M Q2W,NULL,NULL,NULL,,,,,,NULL,NULL,Sydney Belton,1578163259,NULL,NULL,NULL,,,NULL,,NULL,,XXX,NULL,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,KISCO SENIOR LIVING,Chartpath,,,Melanie Adler,melanie.adler@kiscosl.com,Executive Director,NULL,NULL,NULL,Shantae Gardner ,Shantae.Gardner@kiscosl.com ,Memory Care Coordinator,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,500,1403,HERITAGE GREENS - THE ARBORETUM,NULL,Jill Van-Horn,1669584835,0,NULL,12,0,Brittany Morgan,"Pharmcare USA of Raleigh 700 Pony Rd,  Zebulon, NC 27597 P: 919-823-4850 F: 877-505-7999",NULL,NULL,NULL,NULL,NULL,00:00.0,NULL,XXX,0,0,0,Hans Stelmach,1356535991,NULL,NULL,7/17/2023 15:00,NULL,,
Sam Swope Care Center,,NULL,NULL,,Tiffany Johnson-Burnette,Northeast Kentucky,Margaret Wienclaw,NULL,SNF,Established,Green,Sam Swope Care Center,3503 Moyers CIR,Louisville,,Kentucky,40041,NULL,(502) 897-4907,(502) 897-4907,NULL,NULL,,amcgee@masonicky.com; bfranzwa@masonicky.com *PLUS ALL 6 EMAILS LISTED*,NULL,NULL,NULL,NULL,NULL,62,37,34,62,0,0,0,0,59,29,0,0,0,0,0,0,0,NULL,17,0,NULL,138,131,2076,Unity,XXX,0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Sheena Steele,1013412170,M Q1W,NULL,NULL,NULL,,,,,,5/19/2025,NULL,Heather Drawe,1033552948,NULL,NULL,NULL,,,NULL,,NULL,,XXX,0,,,NULL,,,,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,MASONIC HOMES OF KENTUCKY INC,Visual,,,Sarah Searcy,ssearcy@masonicky.com,DON,NULL,NULL,NULL,David Brown,dbrown@masonicky.com,ED,NULL,NULL,NULL,Keri Kincaid,Kkincaid@masonicky.com,SSD,NULL,NULL,NULL,Rachel Cruce,Rcruce@masonicky.com,SSD,NULL,NULL,NULL,Sadie Shelton,Sshelton@masonicky.com,SSD,NULL,NULL,NULL,Teeka M,gputtagunta@masonicky.com,ADON,NULL,NULL,NULL,2076,NULL,NULL,NULL,XXX,0,0,NULL,0,0,Kayla D. Saylor,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,0,XXX,0,0,0,TBD,1,NULL,NULL,5/6/2025 5:23,185388,,
Heritage Care Home of Taylorsville,,NULL,NULL,,Bambi Anderson,Carolinas West,Lindsey Schulten,NULL,AL,Established,Yellow,1902595671,668 Wood Road,Taylorsville,,North Carolina,28681,NULL,828-635-8350,828-635-8353,EMAIL Notes,EMAIL Schedule,,taylorsville@heritagecarehome.com,MAKO,Friday,Trident Care,Medi Home ,Medi Home ,20,6,13,20,20,20,0,0,19,0,0,0,0,0,0,0,0,NULL,20,0,NULL,34,32,1984,Caresuite,Emily Rusmisell,1487304119,Tu Q2W,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Heather Landis,1780216135,Tu Q1W,NULL,NULL,NULL,,,,,,NULL,NULL,XXX,0,NULL,NULL,NULL,,,NULL,,NULL,,xxx,NULL,,,xxx,,,,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,xxx,NULL,,xxx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,INDEPENDENT,NULL,,,Jamea Quick,taylorsville@heritagecarehome.com,Executive Director,NULL,NULL,NULL,April Lundy,Taylorsville@heritagecarehome.com,Resident Care Coordinator,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1984,NULL,NULL,NULL,Charlene Knight,1902804354,0,NULL,1,0,Elizabeth Giebel,Southern Pharmacy-Kernersville,NULL,NULL,NULL,NULL,NULL,00:00.0,0,XXX,0,0,0,Hans Stelmach,1356535991,NULL,NULL,12/5/2024 6:31,NULL,,
Brookdale High Point North MC,,CP,6798636,,Bambi Anderson,Carolinas Central,Jennifer Shirley,NULL,MC,Established,Green,1740345842,1564 Skeet Club Rd,High Point,,North Carolina,27265,"Guilford County, NC",336-869-4188,(336) 869-5188,NULL,336-869-5188,,dmclean@brookdale.com; cfain@brookdale.com,Mako,Thursday,Trident Care,NULL,NULL,40,24,29,34,38,38,0,0,32,34,0,0,0,0,0,1,0,Partners,9,0,NULL,NULL,0,417,PAPER,Heather Hunt,1164287223,W Q1W,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Sarah Brant,1528710407,W Q1W,NULL,NULL,NULL,,,,,,NULL,NULL,Sarah Gonzalez-Graham,1942609300,NULL,NULL,NULL,,,NULL,,NULL,,XXX,0,,,NULL,,,,XXX,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,Brookdale Senior Living,ECW,,,Victoria Wah,e000854265@brookdale.com,Health and Wellness Director,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Charisse Fain,cfain@brookdale.com,Nurse Manager,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,417,1320,BROOKDALE HIGH POINT NORTH (MC),NULL,Javier Cruz,1952095267,0,NULL,11,0,Brittany Morgan,NULL,NULL,NULL,NULL,NULL,NULL,00:00.0,1124883426,Donisia Germany,3,0,0,Hans Stelmach,1356535991,NULL,NULL,7/17/2023 15:00,NULL,,
Cardinal Landing Memory Care,,NULL,NULL,,Tiffany Johnson-Burnette,Southwest Kentucky,Shaye Tomblinson,NULL,AL,Established,Green,101425,1310 Campbell Ln,Bowling Green,,Kentucky,42104,NULL,(270) 599-0360,(270) 599-0364,270-599-0364,270-599-0364,,bwilliams@triplecrownsl.com,Quest,When needed,Wester Kentucky Diagnostic Imaging,Any local agency,Hosparus,35,19,18,33,23,23,0,0,23,27,0,0,0,0,0,0,0,NULL,26,0,NULL,38,30,2100,Yardi,XXX,0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,,,,,NULL,,XXX,Kathy Moss,1558257436,Tu Q2W,NULL,NULL,NULL,,,,,,7/31/2025,NULL,TBD,1,TBD,NULL,NULL,,,NULL,,NULL,,XXX,0,,,NULL,,,,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,XXX,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,Triple Crown Senior Living,Yardi,,,Amanda Seegmiller,aseegmiller@triplecrownsl.com,Area Director of Operations,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,B. Williams,bwilliams@triplecrownsl.com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2100,NULL,NULL,NULL,XXX,0,0,NULL,0,0,Kayla D. Saylor,Synchrony,NULL,NULL,NULL,NULL,NULL,00:00.0,0,XXX,0,0,0,TBD,1,NULL,NULL,7/21/2025 12:02,NULL,,
